NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Age,Phases,Enrollment,Country,Start_year,Sponsor_type,trial_status_clean
NCT01405508,Safety and Tolerability of Intravenous Brivaracetam (Infusion or Bolus) as Adjunctive Antiepileptic Therapy,COMPLETED,Epilepsy,DRUG: Brivaracetam tablets|DRUG: Brivaracetam bolus|DRUG: Brivaracetam infusion|OTHER: Placebo,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,105,United States,2011,Industry,Completed
NCT00029536,Progesterone vs Placebo Therapy for Women With Epilepsy,COMPLETED,Epilepsy,BIOLOGICAL: Progesterone Lozenges|OTHER: Matched Placebo Lozenges,Beth Israel Deaconess Medical Center,CHILD  ADULT,PHASE3,294,United States,2000,Government/Other,Completed
NCT02758626,Ataluren for Nonsense Mutation in CDKL5 and Dravet Syndrome,COMPLETED,Epilepsy,DRUG: ataluren|DRUG: Placebo,NYU Langone Health,CHILD,PHASE2,15,United States,2016,Government/Other,Completed
NCT05346666,Possible Immuno-Modulatory Effect of Tocilizumab in Patients With Refractory Status Epilepticus.,UNKNOWN,Epilepsy,DRUG: Tocilizumab Prefilled Syringe [Actemra]. propofole  phenobarbital  midazolam,Damanhour University,CHILD  ADULT  OLDER_ADULT,PHASE3,50,Egypt,2022,Academic,Other
NCT00175864,Open Label Study (Everyone Who Participates Receives Drug) to Further Determine How Safe and Effective Oral Treatment of Seletracetam is in Patients With Refractory Epilepsy.,WITHDRAWN,Epilepsy,DRUG: Seletracetam (ucb 44212),UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,0,,2006,Industry,Other
NCT05291455,Lacosamide in NeoNot Specifiedtal Status Epilepticus,UNKNOWN,Epilepsy,DRUG: Lacosamide|DRUG: Phenobarbital,Sherief Abd-Elsalam,CHILD,PHASE3,60,Egypt,2022,Government/Other,Other
NCT00229840,Evaluation of FunctioNot Specifiedl MRI and DTI (Imaging Techniques) in Children With Epilepsy and Focal Brain Lesions,COMPLETED,Epilepsy,PROCEDURE: FunctioNot Specifiedl MRI  Diffusion Tensor Imaging,Children's Healthcare of Atlanta,CHILD  ADULT,Not Specified,30,United States,2006,Government/Other,Completed
NCT05209386,Flexible Representation of Speech,COMPLETED,Epilepsy,BEHAVIORAL: Dimension-Based Statistical Learning,University of Pittsburgh,CHILD  ADULT,Not Specified,48,United States,2022,Academic,Completed
NCT05132543,Neural Basis of Cognition,NOT_YET_RECRUITING,Epilepsy,DEVICE: High density micro-electrocorticography for neural speech prothesis,Duke University,CHILD  ADULT  OLDER_ADULT,Not Specified,38,,2026,Academic,Other
NCT00175851,Open Label Trial to Study the Long-term Safety and Efficacy of Seletracetam for the Treatment of Epilepsy,WITHDRAWN,Epilepsy,DRUG: Seletracetam (ucb 44212),UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,0,,2008,Industry,Other
NCT01668654,Long-term  Open-label Safety Extension Study of Retigabine/Ezogabine in Pediatric Subjects (>= 12 Years Old) With POS or LGS,TERMINot SpecifiedTED,Epilepsy,DRUG: retigabine/ezogabine,GlaxoSmithKline,CHILD  ADULT,PHASE3,4,United States,2012,Government/Other,Other
NCT00761774,An Open-label  MultiNot SpecifiedtioNot Specifiedl  Multicenter  Follow-up Study to Evaluate the Long-term Safety and Efficacy of Brivaracetam,COMPLETED,Epilepsy,DRUG: Brivaracetam,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,108,United States,2008,Industry,Completed
NCT02844374,Epileptogenic Zone's Cartography by Quantification of EEG's SigNot Specifiedl and Intracerebral Stimulation.,UNKNOWN,Epilepsy,OTHER: FunctioNot Specifiedl stereotaxic exploration,University Hospital  Grenoble,CHILD  ADULT  OLDER_ADULT,Not Specified,45,France,2014,Academic,Other
NCT00154076,A Multicenter Comparative Trial of Zonisamide and Topiramate as Initial Monotherapy in Untreated Epilepsies,COMPLETED,Epilepsy,DRUG: Zonisamide|DRUG: Topiramate,Eisai Korea Inc.,CHILD  ADULT  OLDER_ADULT,PHASE4,140,South Korea,2005,Industry,Completed
NCT00807989,The Efficacy and Safety of Low Dose CombiNot Specifiedtion of LTG and VPA Compared to CBZ Monotherapy,COMPLETED,Epilepsy,DRUG: Carbamazepine|DRUG: Lamotrigine/Valproate,Yonsei University,CHILD  ADULT  OLDER_ADULT,PHASE4,207,South Korea,2008,Academic,Completed
NCT05609084,Intensive Preoperative Speech Rehabilitation in Drug-Resistant Temporal Epilepsy,RECRUITING,Epilepsy|Anomia|Temporal Lobe Epilepsy,PROCEDURE: Speech therapy|PROCEDURE: Speech therapy assessment,Assistance Publique Hopitaux De Marseille,CHILD  ADULT  OLDER_ADULT,Not Specified,214,France,2023,Government/Other,Recruiting
NCT02726074,Trial Evaluating the Efficacy and Safety of Perampanel Added to Monotherapy in Participants With Partial Onset Seizures With or Without Secondary Generalization,COMPLETED,Epilepsy,DRUG: Perampanel,Eisai Korea Inc.,CHILD  ADULT  OLDER_ADULT,PHASE4,106,South Korea,2016,Industry,Completed
NCT01981447,IV Lacosamide: The Safety of Intravenous Lacosamide,COMPLETED,Epilepsy,DRUG: IV Lacosamide,Le Bonheur Children's Hospital,CHILD  ADULT,PHASE3,40,United States,2010,Academic,Completed
NCT00050947,Pediatric Epilepsy Study,COMPLETED,Epilepsy,DRUG: oxcarbazepine,Novartis Pharmaceuticals,CHILD,PHASE3,94,United States,2002,Industry,Completed
NCT07019922,A Clinical Trial of Elsunersen in Pediatric SCN2A-DEE to Assess Efficacy and Safety,RECRUITING,Epileptic Encephalopathy|SCN2A Encephalopathy,DRUG: 1mg elsunersen|PROCEDURE: sham procedure|DRUG: 0.5mg elsunersen,Praxis Precision Medicines,CHILD  ADULT,PHASE3,50,United States,2025,Government/Other,Recruiting
NCT00181090,Use of the Atkins Diet for Children With Intractable Epilepsy: A Comparison of Daily Carbohydrate Limits,COMPLETED,Epilepsy,BEHAVIORAL: Modified Atkins diet,Johns Hopkins University,CHILD  ADULT,PHASE1,30,United States,2005,Academic,Completed
NCT01393743,A Efficacy and Safety Study of Adjunctive Perampanel in Primary Generalized Tonic Clonic Seizures,COMPLETED,Seizure Disorder Generalized Tonic Clonic,DRUG: Perampanel|DRUG: Placebo comparator,Eisai Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,163,,2011,Industry,Completed
NCT04677751,Clinical and Electrographic Changes in Responsive Neurostimulation System (RNS) Patients with Acupuncture Treatment,RECRUITING,Epilepsy,DEVICE: Acupuncture intervention,The University of Texas Health Science Center  Houston,CHILD  ADULT,Not Specified,10,United States,2021,Academic,Recruiting
NCT00368069,A Study to Look at the Efficacy and Safety of KeppraÂ® Extended Release Formulation - XR,COMPLETED,Epilepsy,DRUG: KeppraÂ® extended release formulation - XR|DRUG: Placebo,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,158,Brazil,2006,Industry,Completed
NCT00938431,A Multicenter  Open-Label Study To Investigate The Safety And Pharmacokinetics Of Lacosamide In Children With Partial Seizures,COMPLETED,Epilepsy,DRUG: Lacosamide,UCB Pharma,CHILD,PHASE2,47,United States,2009,Industry,Completed
NCT07010471,A Clinical Trial for Participants With DEE to Assess Efficacy  Safety  Tolerability  and PK of Relutrigine,RECRUITING,Developmental and Epileptic Encephalopathy 1,DRUG: 1.0mg/kg/day PRAX-562|DRUG: 1.5mg/kg/day PRAX-562|DRUG: Placebo,Praxis Precision Medicines,CHILD  ADULT  OLDER_ADULT,PHASE3,160,United States,2025,Government/Other,Recruiting
NCT00175825,A Dose-ranging Study With Brivaracetam in Patients From 16 to 65 Years With Refractory Partial Onset Seizures.,COMPLETED,Epilepsy,OTHER: Placebo|DRUG: Brivaracetam,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE2,210,United States,2005,Industry,Completed
NCT03583957,A Wireless EEG Patch for Continuous Electrographic Monitoring,UNKNOWN,Epilepsy,DEVICE: ObservatioNot Specifiedl only|BEHAVIORAL: Psychological and Behavioral interaction with a seizure forecasting mobile app|COMBINot SpecifiedTION_PRODUCT: Seizure Alerting and Prediction System,Epitel  Inc.,CHILD  ADULT  OLDER_ADULT,Not Specified,750,United States,2018,Industry,Other
NCT02582866,A Clinical Study to Investigate the Long-term Use of Lacosamide as Monotherapy in Subjects Who Completed Study SP0994,COMPLETED,Epilepsy,DRUG: Lacosamide,UCB Biopharma S.P.R.L.,CHILD  ADULT  OLDER_ADULT,PHASE3,106,Bulgaria,2016,Industry,Completed
NCT02161185,A Long-term Safety and Tolerability Study of USL261 in Patients With Seizure Clusters,TERMINot SpecifiedTED,Epilepsy,DRUG: USL261,UCB Biopharma S.P.R.L.,CHILD  ADULT  OLDER_ADULT,PHASE3,7,United States,2014,Industry,Other
NCT01390220,Study to Evaluate the Safety and Efficacy of USL261 (IntraNot Specifiedsal Midazolam) in Patients With Seizure Clusters,TERMINot SpecifiedTED,Epilepsy,DRUG: USL261|DRUG: Placebo,UCB Biopharma S.P.R.L.,CHILD  ADULT  OLDER_ADULT,PHASE3,292,United States,2011,Industry,Other
NCT00088452,Childhood Absence Epilepsy Rx PK-PD-Pharmacogenetics Study,COMPLETED,Childhood Absence Epilepsy|Petit Mal Epilepsy|Epilepsy|Seizures,DRUG: Ethosuximide|DRUG: Lamotrigine|DRUG: Valproic acid,Children's Hospital Medical Center  CincinNot Specifiedti,CHILD,PHASE3,453,United States,2004,Academic,Completed
NCT03745118,Development of a Practical  Minimally Invasive Seizure Gauge,COMPLETED,Epilepsy,DEVICE: EpiTel EpiLog|DEVICE: Byte Flies Sensor Dots|DEVICE: Empatica E4|DEVICE: Biovotion Everion|DEVICE: GeneActiv,Mayo Clinic,CHILD  ADULT  OLDER_ADULT,Not Specified,95,United States,2018,Government/Other,Completed
NCT03206502,Embrace: Seizure Characterization,ENROLLING_BY_INVITATION,Epilepsy,DEVICE: Embrace + Alert App,Empatica  Inc.,CHILD  ADULT  OLDER_ADULT,Not Specified,100000,,2016,Industry,Other
NCT06310954,Ketogenic Diet in Pediatric Intractable Epilepsy,UNKNOWN,Epilepsy in Children|Epilepsy Intractable,DIETARY_SUPPLEMENT: Early ketogenic diet combined with conventioNot Specifiedl pharmacotherapy.|DRUG: Common diet combined with conventioNot Specifiedl pharmacotherapy,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,CHILD,Not Specified,59,ChiNot Specified,2022,Academic,Other
NCT01529034,Study to Evaluate the Long-term Safety and Tolerability of USL261 in Patients With Seizure Clusters,TERMINot SpecifiedTED,Epilepsy,DRUG: USL261,UCB Biopharma S.P.R.L.,CHILD  ADULT  OLDER_ADULT,PHASE3,175,United States,2012,Industry,Other
NCT01261325,Brivaracetam Efficacy and Safety Study in Subjects With Partial Onset Seizures,COMPLETED,Epilepsy,DRUG: Placebo|DRUG: Brivaracetam|DRUG: Brivaracetam|DRUG: Antiepileptic drugs with market authorization available per country,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,768,United States,2010,Industry,Completed
NCT00832884,The Safety of Intravenous Lacosamide,COMPLETED,Epilepsy,DRUG: Lacosamide,Le Bonheur Children's Hospital,CHILD  ADULT,PHASE4,40,United States,2010,Academic,Completed
NCT00004637,Double-Blind  Placebo-Controlled Trial of Vitamin E as Add-on Therapy for Children With Epilepsy,COMPLETED,Epilepsy,DRUG: Vitamin E,Not SpecifiedtioNot Specifiedl Center for Research Resources (NCRR),CHILD  ADULT,PHASE4,,United States,1900,Government/Other,Completed
NCT02851199,The Effect of Child Position on the Results of Hyperventilation During Routine Electroencephalography,UNKNOWN,Epilepsy,DEVICE: Electroencephalography,Hillel Yaffe Medical Center,CHILD,Not Specified,30,Israel,2016,Government/Other,Other
NCT06387186,Leucine Enriched Essential Amino Acid Powder as an Add-on to a Classic Ketogenic Diet in Refractory Epilepsy,UNKNOWN,Refractory Epilepsy|Drug Resistant Epilepsy,DRUG: Leucine-Enriched Essential Amino Acid powder,Elizabeth Anne Thiele,CHILD  ADULT  OLDER_ADULT,PHASE1,15,United States,2024,Government/Other,Other
NCT01229735,Levetiracetam Versus Topiramate as Adjunctive Therapy to Evaluate Efficacy and Safety in Subjects With Refractory Partial Onset Seizures,COMPLETED,Epilepsy,DRUG: Levetiracetam|DRUG: Topiramate,UCB Korea Co.  Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE4,343,South Korea,2010,Industry,Completed
NCT02679846,Safety of Antiepileptic Withdrawal in Long Term Video-EEG Monitoring,COMPLETED,Epilepsy,OTHER: Standardized protocol,Hospices Civils de Lyon,CHILD  ADULT  OLDER_ADULT,Not Specified,1567,France,2016,Government/Other,Completed
NCT02673580,Tele-patient-reported Outcomes (telePRO) in Clinical Practice,COMPLETED,Epilepsy,OTHER: Open Access telePRO|OTHER: Standard telePRO,University of Aarhus,CHILD  ADULT  OLDER_ADULT,Not Specified,593,Denmark,2016,Academic,Completed
NCT02516228,Transcranial Electrical Neuromodulation for Suppressing Epileptiform Discharges,TERMINot SpecifiedTED,Epilepsy,DEVICE: GTEN 100,Electrical Geodesics  Inc.,CHILD  ADULT,Not Specified,6,United States,2016,Industry,Other
NCT00158067,Study of an ExterNot Specifiedl Responsive Neurostimulator System on Epileptiform Activity,COMPLETED,Epilepsy,DEVICE: exterNot Specifiedl Responsive Neurostimulator (eRNS) System,NeuroPace,CHILD  ADULT  OLDER_ADULT,PHASE2,150,United States,2002,Government/Other,Completed
NCT02428348,EEG@HOME (Phase 3b of the Project  Interviews),TERMINot SpecifiedTED,Epilepsy,OTHER: Interview about prototype EEG-cap,University Hospital  Ghent,CHILD  ADULT  OLDER_ADULT,Not Specified,1,Belgium,2015,Academic,Other
NCT00910247,Eslicarbazepine Acetate Monotherapy Long Term Study,COMPLETED,Epilepsy,DRUG: Eslicarbazepine acetate,Sumitomo Pharma America  Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,274,United States,2009,Industry,Completed
NCT02408666,EEG@HOME (Phase 1 of the Project),COMPLETED,Epilepsy,OTHER: Interview,University Hospital  Ghent,CHILD  ADULT  OLDER_ADULT,Not Specified,20,Belgium,2014,Academic,Completed
NCT02408653,EEG@HOME (Phase 2 of the Project  Measurements in Healthy Volunteers),COMPLETED,Epilepsy,DEVICE: EEG,University Hospital  Ghent,CHILD  ADULT  OLDER_ADULT,Not Specified,4,Belgium,2014,Academic,Completed
NCT02408627,EEG@HOME (Phase 3a of the Project  Comparison of EEG-recordings),COMPLETED,Epilepsy,DEVICE: EEG,University Hospital  Ghent,CHILD  ADULT  OLDER_ADULT,Not Specified,3,Belgium,2015,Academic,Completed
NCT00490035,Double-blind  Randomized Study Evaluating the Efficacy and Safety of Brivaracetam in Adults With Partial Onset Seizures,COMPLETED,Epilepsy,OTHER: Placebo|DRUG: Brivaracetam|DRUG: Brivaracetam|DRUG: Brivaracetam,UCB Pharma SA,CHILD  ADULT  OLDER_ADULT,PHASE3,399,Belgium,2007,Industry,Completed
NCT06940089,Invasive Brain-Computer Interfaces for Attention,WITHDRAWN,Epilepsy in Children|Epilepsy,BEHAVIORAL: Attention Intervention using a customized BCI decoder|BEHAVIORAL: Attention Intervention without using a customized BCI decoder,University of Texas at Austin,CHILD  ADULT,Not Specified,0,United States,2025,Academic,Other
NCT02394639,EEG@HOME (Phase 4 of the Project),WITHDRAWN,Epilepsy,OTHER: video-EEG monitoring,University Hospital  Ghent,CHILD  ADULT  OLDER_ADULT,Not Specified,0,Belgium,2015,Academic,Other
NCT00699283,A Double-blind  Randomized Conversion to Monotherapy Study to Evaluate the Efficacy and Safety of Brivaracetam in Subjects (â‰¥ 16 to 75 Years Old) With Partial Onset Seizures,TERMINot SpecifiedTED,Epilepsy,DRUG: Brivaracetam|DRUG: Brivaracetam,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,62,United States,2008,Industry,Other
NCT00698581,A Double-blind  Randomized Conversion to Monotherapy Study to Evaluate the Efficacy and Safety of Brivaracetam in Subjects (â‰¥ 16 to 75 Years Old) With Partial Onset Seizures,TERMINot SpecifiedTED,Epilepsy,DRUG: Brivaracetam|DRUG: Brivaracetam,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,88,United States,2008,Industry,Other
NCT00530855,Trial to Assess Long-term Lacosamide (LCM) Monotherapy Use and Safety of LCM Monotherapy and Adjunctive Therapy for Partial-onset Seizures,COMPLETED,Epilepsy,DRUG: Lacosamide,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,322,United States,2008,Industry,Completed
NCT00520741,Trial to Demonstrate the Efficacy and Safety of Conversion to Lacosamide Monotherapy for Partial-onset Seizures,COMPLETED,Epilepsy,DRUG: Lacosamide|DRUG: Lacosamide,UCB BIOSCIENCES  Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,426,United States,2007,Industry,Completed
NCT04610879,Changing Agendas on Sleep  Treatment and Learning in Epilepsy,TERMINot SpecifiedTED,Rolandic Epilepsy,DRUG: Carbamazepine|DRUG: Levetiracetam|BEHAVIORAL: Parent based sleep (PBS) intervention,King's College London,CHILD,PHASE4,5,United Kingdom,2019,Government/Other,Other
NCT00464269,Double-blind  Randomized Study Evaluating the Efficacy and Safety of Brivaracetam in Adults With Partial Onset Seizures,COMPLETED,Epilepsy,OTHER: Placebo|DRUG: Brivaracetam 2.5 mg|DRUG: Brivaracetam 10 mg|DRUG: Brivaracetam 25 mg,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,400,United States,2007,Industry,Completed
NCT00136019,SPM 927 (400mg/Day and 600mg/Day) as Adjunctive Therapy in Subjects With Partial Seizures With or Without Secondary Generalization,COMPLETED,Epilepsy,DRUG: SPM 927,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,400,,2004,Industry,Completed
NCT02144792,Development and Clinical Application of [11C]Verapamil-PET,UNKNOWN,Epilepsy,DRUG: [11C] -verapamil PET,Seoul Not SpecifiedtioNot Specifiedl University Hospital,CHILD  ADULT  OLDER_ADULT,PHASE2,30,South Korea,2013,Academic,Other
NCT00292461,A Study for Evaluating the Efficacy and Safety of Zonisamide and Lamotrigine (Lamictal) for Subjects With Refractory Simple Partial  Complex Partial or Partial With Secondary Generalized Seizures,COMPLETED,Epilepsy,DRUG: Zonisamide|DRUG: Lamotrigine,Eisai Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,64,ChiNot Specified,2006,Industry,Completed
NCT02316847,An Open-Label  Safety and Tolerability Study of Chronic Intermittent Use of Diazepam Not Specifiedsal Spray.,TERMINot SpecifiedTED,Epilepsy,DRUG: diazepam Not Specifiedsal spray,Acorda Therapeutics,CHILD  ADULT  OLDER_ADULT,PHASE2,126,United States,2014,Industry,Other
NCT06581133,Sleep Disruption Pattern - Epilepsy Monitoring Unit,NOT_YET_RECRUITING,Epilepsy Intractable,DEVICE: Alarm system,Duke University,CHILD  ADULT,Not Specified,75,,2026,Academic,Other
NCT01626599,Study to Evaluate a New Device Designed to Collect Heart Activity and Body Movement Data,COMPLETED,Epilepsy,DEVICE: ProGuardian,Cyberonics  Inc.,CHILD  ADULT  OLDER_ADULT,Not Specified,147,United States,2012,Industry,Completed
NCT06315322,A Study to Test the Long-term Safety and Tolerability of Brivaracetam in Study Participants With Childhood Absence Epilepsy or Juvenile Absence Epilepsy,RECRUITING,Childhood Absence Epilepsy|Juvenile Absence Epilepsy,DRUG: Brivaracetam Film-coated tablet|DRUG: Brivaracetam oral solution,UCB Biopharma SRL,CHILD  ADULT  OLDER_ADULT,PHASE3,120,United States,2024,Industry,Recruiting
NCT01431976,Clinical Study of Lamotrigine to Treat Newly Diagnosed Typical Absence Seizure in Children and Adolescents,COMPLETED,Epilepsy,DRUG: Lamictal,GlaxoSmithKline,CHILD,PHASE3,20,Japan,2011,Government/Other,Completed
NCT01284556,Evaluation Phenobarbital as Adjunctive Therapy in Participants With Partial Onset Seizures,COMPLETED,Epilepsy,DRUG: Phenobarbital|DRUG: Placebo tablet,West-Ward Pharmaceutical,CHILD  ADULT  OLDER_ADULT,PHASE3,314,United States,2010,Industry,Completed
NCT01161524,A Study With an Open-label Extension Phase to Evaluate the Effect of Perampanel (E2007) on Cognition  Growth  Safety  Tolerability  and Pharmacokinetics in Adolescents,COMPLETED,Epilepsy,DRUG: Perampanel|DRUG: Placebo,Eisai Inc.,CHILD  ADULT,PHASE2,133,United States,2010,Industry,Completed
NCT01127256,Comparative Study of Zonisamide and Carbamazepine as an Initial Monotherapy: Efficacy and Safety Evaluation,COMPLETED,Epilepsy,DRUG: zonisamide|DRUG: carbamazepine,Eisai Korea Inc.,CHILD  ADULT  OLDER_ADULT,PHASE4,200,South Korea,2006,Industry,Completed
NCT01127165,Low and High Dose Zonisamide in Children as Monotherapy,COMPLETED,Epilepsy,DRUG: zonisamide low dose group|DRUG: zonisamide high dose group,Eisai Korea Inc.,CHILD,PHASE4,125,South Korea,2006,Industry,Completed
NCT06703983,Efficacy of Low Glycemic Index Diet Versus Classic Ketogenic Diet in Pediatric Epilepsy Treatment,COMPLETED,Seizure|Epilepsy|Drug Resistant Epilepsy,OTHER: Low Glycemic index therapy|OTHER: Classic Ketogenic Diet,Mashhad University of Medical Sciences,CHILD  ADULT,Not Specified,40,Iran,2024,Academic,Completed
NCT00908453,The Study of NPC-06 - Investigation of Safety  Efficacy and Pharmacokinetics of Fosphenytoin,COMPLETED,Epilepsy,DRUG: fosphenytoin,Nobelpharma,CHILD  ADULT  OLDER_ADULT,PHASE3,40,Japan,2009,Industry,Completed
NCT00040326,Early Surgical Intervention to Treat Epilepsy,COMPLETED,Epilepsy|Epilepsy  Temporal Lobe|Seizures,PROCEDURE: anteromesial temporal resection|DRUG: antiepileptic drugs,University of California  Los Angeles,CHILD  ADULT  OLDER_ADULT,PHASE3,200,United States,2002,Academic,Completed
NCT00735397,Evaluation of the Efficacy and Safety of E2007 (Perampanel) Given as Adjunctive Therapy in Subjects With Refractory Partial Seizures,COMPLETED,Epilepsy,DRUG: perampanel,Eisai Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,1218,United States,2008,Industry,Completed
NCT00692003,Adjunctive Zonisamide in Primary Generalised Tonic Clonic Seizures,TERMINot SpecifiedTED,Epilepsy,DRUG: Zonisamide|DRUG: Placebo,Eisai Limited,CHILD  ADULT  OLDER_ADULT,PHASE3,21,Australia,2008,Government/Other,Other
NCT00361010,A Pilot Study of Efficacy and Tolerability of Levetiracetam Monotherapy in Subjects With Childhood Absence Epilepsy,COMPLETED,Epilepsy|Childhood Absence Epilepsy|Seizures,DRUG: Levetiracetam,The Cleveland Clinic,CHILD,Not Specified,20,United States,2006,Government/Other,Completed
NCT00625222,Transcranial Direct Current Stimulation (tDCS) As A Tool For Prospective Responder Identification Before Vagus Nerve Stimulation (VNS) Implantation,UNKNOWN,Epilepsy,PROCEDURE: transcranial direct current stimulation,University of Luebeck,CHILD  ADULT  OLDER_ADULT,Not Specified,70,Germany,2007,Academic,Other
NCT00615615,Efficacy and Tolerability of Levetiracetam Add-On Treatment in Refractory Pediatric Patients With Partial Onset Seizures,COMPLETED,Epilepsy,DRUG: Levetiracetam|DRUG: Placebo,UCB Pharma,CHILD,PHASE3,216,,1999,Industry,Completed
NCT00610454,Safety and Tolerability of Levetiracetam Intravenous 15 Minute Infusion in Subjects Suffering From Partial Onset Seizures,COMPLETED,Epilepsy,DRUG: Levetiracetam,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE2,25,,2004,Industry,Completed
NCT00515619,Assess Safety and Efficacy of Lacosamide in Patients With Partial Seizures,COMPLETED,Epilepsy,DRUG: Lacosamide,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,376,Australia,2004,Industry,Completed
NCT00231556,A Study on Safety and Efficacy of Two Doses of Topiramate as Monotherapy in the Treatment of Newly Diagnosed or Recurrent Epilepsy,COMPLETED,Epilepsy|Seizures|Epilepsies  Partial|Epilepsy  Generalized|Epilepsy  Tonic-Clonic,DRUG: topiramate,Johnson & Johnson Pharmaceutical Research & Development  L.L.C.,CHILD  ADULT  OLDER_ADULT,PHASE3,750,,1999,Industry,Completed
NCT00334958,RufiNot Specifiedmide Given as Adjunctive Therapy in Participants With Refractory Partial Seizures,COMPLETED,Epilepsy,DRUG: Placebo|DRUG: RufiNot Specifiedmide,Eisai Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,356,United States,2006,Industry,Completed
NCT00419393,Long Term Follow-up Study With Keppra XR (Levetiracetam XR) for Partial Seizures,COMPLETED,Epilepsy,DRUG: Keppra XR (Levetiracetam XR),UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,190,United States,2007,Industry,Completed
NCT00419094,Conversion to Monotherapy Study With Keppra XR for Partial Seizures,COMPLETED,Epilepsy,DRUG: Keppra XR|DRUG: Keppra XR,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,228,United States,2007,Industry,Completed
NCT01891890,Cognitive AED Outcomes in Pediatric Localization Related Epilepsy (COPE),TERMINot SpecifiedTED,Epilepsy  Partial|Epilepsy  Localization Related,DRUG: Oxcarbazepine|DRUG: Levetiracetam|DRUG: Lamotrigine,Emory University,CHILD,PHASE3,72,United States,2013,Academic,Other
NCT00216567,Safety and Efficacy of Topamax Versus Carbamazepine in Benign Rolandic Epilepsy,COMPLETED,Epilepsy  Rolandic,DRUG: topamax,Janssen Korea  Ltd.  Korea,CHILD,PHASE4,114,,2002,Industry,Completed
NCT07010276,Deep Brain Stimulation vs. Vagus Nerve Stimulation for Epileptic Spasms,NOT_YET_RECRUITING,Epilepsy; Seizure,DEVICE: DBS Arm|DEVICE: VNS arm,The Hospital for Sick Children,CHILD,Not Specified,20,CaNot Specifiedda,2025,Academic,Other
NCT07350551,Pediatric Epilepsy,NOT_YET_RECRUITING,Epilepsy Intractable,BEHAVIORAL: Cedrus RB series response pad; Adtech Behnke-Fried micro-electrodes; Neuralynx or Blackrock electrophysiology system; Blackrock Cerestim or Not Specifiedtus Nicolet stimulator,University of Texas Southwestern Medical Center,CHILD  ADULT,Not Specified,200,United States,2026,Academic,Other
NCT05109234,A Study to Test the Long-term Safety  Tolerability and Efficacy of Brivaracetam in Study Participants 2 to 26 Years of Age With Childhood Absence Epilepsy or Juvenile Absence Epilepsy,COMPLETED,Childhood Absence Epilepsy|Juvenile Absence Epilepsy,DRUG: Brivaracetam Film-coated tablet|DRUG: Brivaracetam oral solution,UCB Biopharma SRL,CHILD  ADULT,PHASE3,84,United States,2022,Industry,Completed
NCT07318870,Efficacy of Probenecid on Cluster Seizures During Anti Seizure Medication Withdrawal in Presurgical Focal Epilepsy Video-EEG Monitoring,NOT_YET_RECRUITING,Focal Epilepsy,DRUG: Probenecid|OTHER: Placebo,Fondation Ophtalmologique Adolphe de Rothschild,CHILD  ADULT,PHASE2,600,,2026,Government/Other,Other
NCT07563634,Long-term Safety and Efficacy of Adjunctive Brivaracetam in Chinese Patients With Uncontrolled Focal Epilepsy,COMPLETED,Epilepsy  Focal,DRUG: Brivaracetam,Jiangxi Qingfeng Pharmaceutical Co. Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE3,141,ChiNot Specified,2021,Industry,Completed
NCT00518713,Clobazam in Patients With Lennox-Gastaut Syndrome,COMPLETED,Epilepsy|Epilepsy  Generalized|Seizures,DRUG: Clobazam Low Dose|DRUG: Clobazam Medium Dose|DRUG: Clobazam High Dose|DRUG: Placebo,Lundbeck LLC,CHILD  ADULT,PHASE3,238,United States,2007,Government/Other,Completed
