NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Age,Phases,Enrollment,Country,Start_year,Sponsor_type,trial_status_clean
NCT02195661,The Role of Melatonin in the Effective Attainment of Sleep Electroencephalograms (EEG) in Children,COMPLETED,Epilepsy|Electroencephalogram|Children|Sedation,DIETARY_SUPPLEMENT: Melatonin|DRUG: Chloral Hydrate,University of Cape Town,CHILD,PHASE3,194,South Africa,2014,Academic,Completed
NCT02192814,Open-label Study to Evaluate the Safety and Tolerability of iv Lacosamide in Japanese Adults With Partial-onset Seizures,COMPLETED,Epilepsy|Partial-onset Seizures,DRUG: Lacosamide (200 mg/20 mL),UCB Japan Co. Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE3,9,Japan,2014,Industry,Completed
NCT01832038,Study to Evaluate the Safety  Tolerability  and Efficacy of Long-term Adjunctive Therapy With Lacosamide in Adults With Partial-onset Seizures,COMPLETED,Epilepsy|Partial-onset Seizures,DRUG: Lacosamide,UCB Pharma SA,CHILD  ADULT  OLDER_ADULT,PHASE3,473,ChiNot Specified,2013,Industry,Completed
NCT01463306,A 12-Month Study To Evaluate The Safety And Tolerability Of Pregabalin As Add-On Therapy In Pediatric Subjects 1 Month To 16 Years Of Age With Partial Onset Seizures And Pediatric And Adult Subjects 5 To 65 Years Of Age With Primary Generalized Tonic-Clonic Seizures,COMPLETED,Epilepsy  Partial Seizures|Epilepsy  Primary Generalized Tonic-Clonic Seizures,DRUG: Pregabalin,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,605,United States,2012,Industry,Completed
NCT01710657,A Trial to Evaluate the Efficacy and Safety of Adjunctive Therapy With Lacosamide in Adults With Partial-Onset Seizures,COMPLETED,Epilepsy|Partial Onset Seizures,DRUG: Lacosamide 50 mg|DRUG: Lacosamide 100 mg|DRUG: Placebo,UCB Pharma SA,CHILD  ADULT  OLDER_ADULT,PHASE3,548,ChiNot Specified,2012,Industry,Completed
NCT02124564,A Trial to Evaluate the Long Term Safety and Tolerability of Lacosamide Taken as Monotherapy in Adults With Partial-onset Seizures,COMPLETED,Epilepsy|Partial-onset Seizures,DRUG: Lacosamide,UCB Japan Co. Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE3,19,Japan,2014,Industry,Completed
NCT02090569,High Resolution Imaging of Cerebral Vasculature by FunctioNot Specifiedl Micro-Doppler Sonography During Brain Surgery,TERMINot SpecifiedTED,Partial Drug-resistant Epilepsy,DEVICE: FunctioNot Specifiedl micro-Doppler Sonography (fmDS),Centre Hospitalier St Anne,CHILD  ADULT  OLDER_ADULT,Not Specified,3,France,2014,Academic,Other
NCT02224690,A Study to Investigate the Efficacy and Safety of CanNot Specifiedbidiol (GWP42003-P; CBD) as Adjunctive Treatment for Seizures Associated With Lennox-Gastaut Syndrome in Children and Adults,COMPLETED,Epilepsy|Lennox-Gastaut Syndrome,DRUG: GWP42003-P 20 mg/kg/day Dose|DRUG: Placebo,Jazz Pharmaceuticals,CHILD  ADULT,PHASE3,171,United States,2015,Industry,Completed
NCT02224560,Efficacy and Safety of GWP42003-P for Seizures Associated With Lennox-Gastaut Syndrome in Children and Adults,COMPLETED,Epilepsy|Lennox Gastaut Syndrome,DRUG: GWP42003-P|DRUG: Placebo control,Jazz Pharmaceuticals,CHILD  ADULT,PHASE3,225,United States,2015,Industry,Completed
NCT04054453,Prevention of Epilepsy by Reducing NeoNot Specifiedtal Encephalopathy,UNKNOWN,NeoNot Specifiedtal Encephalopathy|Epilepsy|Newborn Morbidity,COMBINot SpecifiedTION_PRODUCT: Intra-partum care bundle invoking 4 elements,Thayyil  Sudhin,CHILD  ADULT,Not Specified,2000,India,2020,Government/Other,Other
NCT03764956,Comparison of Efficacy of LGIT and MAD Among Children With Drug Resistant Epilepsy,UNKNOWN,Drug Resistant Epilepsy|Ketogenic Dieting,OTHER: Low glycemic Index Therapy (LGIT)|OTHER: Modified Atkins Diet (MAD),All India Institute of Medical Sciences,CHILD,PHASE4,110,India,2018,Academic,Other
